Date,All,FourYear,FourYearPublic,FourYearPrivate,TwoYear,TwoYearPublic,TwoYearPrivate
2000.00,10820.00,12922.00,8653.00,21856.00,5466.00,4839.00,14907.00
2001.00,11380.00,13639.00,9196.00,22896.00,5718.00,5137.00,15825.00
2002.00,12014.00,14439.00,9787.00,23787.00,6252.00,5601.00,17753.00
2003.00,12953.00,15505.00,10674.00,25070.00,6705.00,6012.00,19558.00
2004.00,13793.00,16510.00,11426.00,26260.00,7095.00,6375.00,20297.00
2005.00,14634.00,17451.00,12108.00,27333.00,7236.00,6492.00,21404.00
2006.00,15483.00,18471.00,12797.00,28919.00,7466.00,6815.00,20284.00
2007.00,16231.00,19363.00,13429.00,30226.00,7637.00,6975.00,21685.00
2008.00,17092.00,20409.00,14262.00,31273.00,8238.00,7568.00,22726.00
2009.00,17650.00,21126.00,15036.00,31847.00,8541.00,7708.00,24463.00
2010.00,18475.00,22074.00,15919.00,32517.00,8868.00,8079.00,23101.00
2011.00,19401.00,23011.00,16787.00,33677.00,9347.00,8617.00,23605.00
2012.00,20233.00,23871.00,17475.00,35071.00,9573.00,8927.00,23355.00
2013.00,20995.00,24701.00,18100.00,36599.00,9891.00,9283.00,23870.00
2014.00,21729.00,25409.00,18632.00,37988.00,10153.00,9585.00,24327.00
2015.00,22439.00,26132.00,19204.00,39534.00,10407.00,9914.00,24375.00
2016.00,23091.00,26593.00,19488.00,41468.00,10598.00,10091.00,24882.00
